leaf,genotype,scale_factor,txt_path,pca_obj_path,in_benchmark,storage_folder,pca_area_cm2
0001,01,14.76,data/raw/0020/0001.txt,data/raw/0020/0001_pca_mesh.obj,True,0020,141.4668738079194
0002,01,14.76,data/raw/0018/0002.txt,data/raw/0018/0002_pca_mesh.obj,True,0018,113.48075221558713
0003,01,14.76,data/raw/0007/0003.txt,data/raw/0007/0003_pca_mesh.obj,True,0007,79.31525850639461
0004,01,14.76,data/raw/0006/0004.txt,data/raw/0006/0004_pca_mesh.obj,True,0006,27.391521332156007
0005,01,14.76,data/raw/0007/0005.txt,data/raw/0007/0005_pca_mesh.obj,True,0007,27.598638037734517
0006,01,14.76,data/raw/0039/0006.txt,data/raw/0039/0006_pca_mesh.obj,True,0039,62.38810945877537
0007,01,14.76,data/raw/0005/0007.txt,data/raw/0005/0007_pca_mesh.obj,True,0005,22.84153611415582
0008,01,14.22,data/raw/0016/0008.txt,data/raw/0016/0008_pca_mesh.obj,True,0016,36.79074107588779
0009,01,14.22,data/raw/0008/0009.txt,data/raw/0008/0009_pca_mesh.obj,True,0008,79.80073732955202
0010,01,14.22,data/raw/0002/0010.txt,data/raw/0002/0010_pca_mesh.obj,True,0002,69.80040673312207
0011,01,14.22,data/raw/0017/0011.txt,data/raw/0017/0011_pca_mesh.obj,True,0017,37.76388484778576
0012,01,14.22,data/raw/0023/0012.txt,data/raw/0023/0012_pca_mesh.obj,True,0023,44.50210870912895
0013,01,14.22,data/raw/0038/0013.txt,data/raw/0038/0013_pca_mesh.obj,True,0038,61.17198262954342
0014,01,14.22,data/raw/0008/0014.txt,data/raw/0008/0014_pca_mesh.obj,True,0008,30.23455356269459
0015,02,12.16,data/raw/0006/0015.txt,data/raw/0006/0015_pca_mesh.obj,True,0006,48.83587879302274
0016,02,12.16,data/raw/0011/0016.txt,data/raw/0011/0016_pca_mesh.obj,True,0011,57.232069434170356
0017,02,12.16,data/raw/0008/0017.txt,data/raw/0008/0017_pca_mesh.obj,True,0008,52.10110027971288
0018,02,12.16,data/raw/0019/0018.txt,data/raw/0019/0018_pca_mesh.obj,True,0019,74.17926239363312
0019,02,12.16,data/raw/0016/0019.txt,data/raw/0016/0019_pca_mesh.obj,True,0016,66.25278197255587
0020,02,12.16,data/raw/0003/0020.txt,data/raw/0003/0020_pca_mesh.obj,True,0003,45.36566740328532
0021,02,12.16,data/raw/0015/0021.txt,data/raw/0015/0021_pca_mesh.obj,True,0015,34.82219679581042
0022,02,12.86,data/raw/0023/0022.txt,data/raw/0023/0022_pca_mesh.obj,True,0023,21.156144489633604
0023,02,12.86,data/raw/0014/0023.txt,data/raw/0014/0023_pca_mesh.obj,True,0014,34.230242552405215
0024,02,12.86,data/raw/0007/0024.txt,data/raw/0007/0024_pca_mesh.obj,True,0007,31.472068805600138
0025,02,12.86,data/raw/0040/0025.txt,data/raw/0040/0025_pca_mesh.obj,True,0040,27.959884697198607
0026,02,12.86,data/raw/0035/0026.txt,data/raw/0035/0026_pca_mesh.obj,True,0035,26.206541402284085
0027,02,12.86,data/raw/0030/0027.txt,data/raw/0030/0027_pca_mesh.obj,True,0030,25.465050134177037
0028,02,12.86,data/raw/0018/0028.txt,data/raw/0018/0028_pca_mesh.obj,True,0018,37.93476038928806
0029,02,15.12,data/raw/0003/0029.txt,data/raw/0003/0029_pca_mesh.obj,True,0003,28.949456327562576
0030,02,15.12,data/raw/0038/0030.txt,data/raw/0038/0030_pca_mesh.obj,True,0038,26.86783307041223
0031,02,15.12,data/raw/0033/0031.txt,data/raw/0033/0031_pca_mesh.obj,True,0033,25.76586486274196
0032,02,15.12,data/raw/0016/0032.txt,data/raw/0016/0032_pca_mesh.obj,True,0016,35.24061791919002
0033,02,15.12,data/raw/0005/0033.txt,data/raw/0005/0033_pca_mesh.obj,True,0005,31.010694209528364
0034,02,15.12,data/raw/0021/0034.txt,data/raw/0021/0034_pca_mesh.obj,True,0021,20.669292997752006
0035,02,12.92,data/raw/0036/0035.txt,data/raw/0036/0035_pca_mesh.obj,True,0036,26.356357210386967
