storage_folder,leaf_count,benchmark_leaf_count,other_leaf_count,group_01_leaf_count,group_02_leaf_count,group_03_leaf_count,group_04_leaf_count,benchmark_leaf_ids
0001,21,6,15,6,7,4,4,0043;0054;0070;0095;0136;0230
0002,21,6,15,6,7,4,4,0010;0051;0076;0105;0137;0217
0003,21,6,15,6,7,4,4,0020;0029;0047;0086;0141;0188
0004,21,6,15,6,7,4,4,0040;0060;0106;0114;0148;0192
0005,21,6,15,6,7,4,4,0007;0033;0067;0118;0168;0235
0006,21,6,15,6,7,4,4,0004;0015;0079;0081;0170;0202
0007,21,6,15,6,7,4,4,0003;0005;0024;0062;0175;0199
0008,21,6,15,6,7,4,4,0009;0014;0017;0071;0128;0194
0009,21,6,15,6,7,4,4,0052;0055;0099;0103;0144;0213
0010,21,6,15,5,8,4,4,0068;0089;0102;0109;0140;0195
0011,21,6,15,5,8,4,4,0016;0059;0098;0108;0149;0234
0012,21,6,15,5,8,4,4,0042;0097;0107;0110;0159;0229
0013,21,6,15,5,8,4,4,0064;0080;0088;0120;0161;0225
0014,21,6,15,5,8,4,4,0023;0044;0069;0117;0160;0233
0015,21,6,15,5,8,3,5,0021;0045;0063;0083;0174;0206
0016,21,6,15,5,8,3,5,0008;0019;0032;0112;0131;0196
0017,21,6,15,5,8,3,5,0011;0056;0073;0096;0126;0228
0018,21,6,15,5,8,3,5,0002;0028;0104;0115;0178;0204
0019,21,6,15,5,8,3,5,0018;0050;0065;0091;0145;0193
0020,21,6,15,5,8,3,5,0001;0061;0085;0094;0146;0197
0021,21,6,15,5,7,3,6,0034;0087;0133;0164;0209;0231
0022,21,6,15,5,7,3,6,0057;0100;0121;0156;0210;0224
0023,21,6,15,5,7,3,6,0012;0022;0150;0154;0221;0236
0024,21,6,15,5,7,3,6,0049;0101;0130;0163;0185;0223
0025,21,6,15,5,7,3,6,0038;0053;0127;0157;0201;0227
0026,21,6,15,5,7,3,6,0058;0075;0123;0135;0191;0222
0027,21,6,15,5,6,4,6,0074;0084;0158;0167;0198;0203
0028,21,6,15,5,6,4,6,0039;0093;0132;0176;0190;0211
0029,21,6,15,5,6,4,6,0066;0113;0134;0138;0186;0189
0030,21,6,15,5,6,4,6,0027;0048;0165;0177;0183;0240
0031,21,6,15,5,6,4,6,0036;0111;0151;0169;0184;0232
0032,21,6,15,5,6,4,6,0041;0072;0153;0173;0181;0214
0033,21,6,15,5,6,4,6,0031;0046;0122;0171;0219;0238
0034,21,6,15,5,6,4,6,0077;0116;0139;0180;0182;0187
0035,21,6,15,5,6,4,6,0026;0119;0129;0162;0205;0216
0036,21,6,15,5,6,4,6,0035;0090;0143;0155;0215;0239
0037,21,6,15,5,6,4,6,0037;0092;0172;0179;0212;0218
0038,21,6,15,5,6,4,6,0013;0030;0142;0152;0207;0237
0039,21,6,15,5,6,4,6,0006;0078;0124;0147;0200;0226
0040,20,6,14,5,6,4,5,0025;0082;0125;0166;0208;0220
